GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.util,JsonTransferUtil,89,0,0,0,27,0,5,0,5,0
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service,P2pBootcoinServiceApplication,5,3,0,0,2,1,1,1,1,1
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.producer,KafkaProducer,355,25,0,0,74,9,6,2,6,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.service,ExchangeServiceImpl,69,7,0,0,17,2,7,2,7,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.service,TransactionServiceImpl,72,7,0,0,20,2,5,2,5,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.service,UserServiceImpl,115,7,0,0,27,2,6,2,6,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.service,WalletServiceImpl,78,7,0,0,17,2,9,2,9,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.controller,TransactionController,48,7,0,0,8,2,5,2,5,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.controller,WalletController,58,7,0,0,16,2,6,2,6,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.controller,UserController,72,7,0,0,18,2,6,2,6,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.controller,ExchangeController,53,7,2,0,12,2,5,2,4,2
p2p-bootcoin-service,com.bootcoin.p2p.bootcoin.service.config,KafkaConfig,0,214,0,0,0,42,0,14,0,14
